idade,rendimento,anos_emprego,montante_emprestimo,taxa_juro,percentagem_rendimento,historico_credito,habitacao,finalidade_emprestimo,classe_emprestimo,historico_incumprimento,estado_emprestimo
45.0,92565.6,,90363.75,10.58,0.976,6.8,outra,negocio,A,nao,0
30.0,95234.55,26.8,232920.99,11.84,2.446,1.7,propria,negocio,B,nao,0
57.0,76258.08,18.3,102605.69,16.84,1.346,16.3,propria,habitacao,C,nao,0
41.0,135271.99,27.5,137793.74,24.66,1.019,11.2,outra,pessoal,B,nao,0
42.0,45603.18,2.9,90634.12,9.1,1.987,12.0,hipoteca,pessoal,B,nao,0
52.0,86475.24,24.0,187868.51,23.55,2.173,17.1,propria,saude,C,nao,1
33.0,104982.65,10.7,196288.7,15.38,1.87,15.7,arrendada,habitacao,B,nao,0
34.0,60808.57,8.2,123145.43,15.76,2.025,16.0,arrendada,saude,A,sim,1
62.0,65467.77,16.8,200412.92,9.39,3.061,12.0,outra,negocio,C,nao,1
32.0,112217.71,11.6,273317.28,11.41,2.436,2.7,arrendada,saude,A,sim,1
55.0,19954.78,26.9,228181.07,9.74,11.435,1.6,hipoteca,habitacao,B,nao,0
29.0,91464.91,4.5,255417.93,9.34,2.793,11.8,arrendada,habitacao,A,nao,0
36.0,80906.98,17.1,190906.66,,2.36,19.4,hipoteca,habitacao,A,nao,0
57.0,88264.13,29.7,54355.43,25.07,0.616,6.2,hipoteca,educacao,B,nao,0
50.0,97712.45,15.3,43946.94,22.74,0.45,7.7,propria,pessoal,B,nao,0
57.0,81570.36,18.7,206727.36,20.57,2.534,4.3,outra,negocio,A,nao,1
28.0,68076.02,18.4,40413.15,25.13,0.594,10.0,hipoteca,negocio,A,nao,0
49.0,109429.89,29.8,288510.2,5.33,2.636,7.5,propria,educacao,B,nao,0
67.0,78877.91,27.2,55196.65,15.11,0.7,3.6,propria,educacao,A,nao,0
36.0,68267.34,2.6,188520.39,9.17,2.762,7.4,hipoteca,saude,B,nao,0
58.0,37038.67,7.6,191397.08,19.35,5.167,14.6,hipoteca,educacao,C,sim,1
32.0,91383.8,28.1,199083.84,15.18,2.179,18.4,arrendada,saude,C,sim,1
33.0,68691.81,,115431.53,8.65,1.68,13.5,outra,saude,B,nao,0
59.0,33556.71,26.0,83383.41,24.9,2.485,2.2,hipoteca,educacao,D,nao,1
50.0,85127.12,28.3,188262.21,20.73,2.212,8.1,arrendada,educacao,B,nao,1
21.0,79683.42,13.0,30524.3,20.45,0.383,5.9,outra,pessoal,C,nao,1
21.0,65263.96,18.4,176425.76,20.64,2.703,4.1,arrendada,habitacao,A,nao,1
36.0,57900.08,2.6,211986.52,8.74,3.661,8.9,arrendada,saude,A,nao,0
32.0,109817.75,22.0,115554.92,7.04,1.052,15.0,arrendada,saude,C,nao,0
45.0,90336.92,7.5,223641.06,17.1,2.476,8.6,outra,saude,B,nao,0
34.0,70904.39,6.8,18580.22,20.93,0.262,9.6,arrendada,educacao,D,nao,1
26.0,98620.91,23.8,193875.87,10.8,1.966,1.3,outra,habitacao,A,nao,0
33.0,89995.1,22.3,245655.42,5.74,2.73,11.8,hipoteca,habitacao,B,sim,1
22.0,67988.31,24.4,13308.24,22.16,0.196,5.1,arrendada,saude,D,nao,1
32.0,7349.94,5.1,141798.78,9.53,19.293,10.9,arrendada,pessoal,B,nao,0
57.0,105260.7,26.4,195761.82,6.3,1.86,17.3,propria,educacao,A,sim,0
34.0,77035.77,9.4,112703.67,,1.463,13.8,hipoteca,saude,B,nao,0
37.0,73785.26,21.5,48427.89,6.79,0.656,9.0,hipoteca,educacao,C,nao,0
52.0,91059.69,24.9,256133.84,18.4,2.813,2.3,outra,educacao,A,sim,1
59.0,78015.28,20.4,41998.8,20.43,0.538,7.2,outra,saude,C,nao,1
36.0,66034.7,22.0,125498.91,12.15,1.9,12.0,hipoteca,pessoal,A,nao,0
42.0,139412.13,28.6,68903.25,,0.494,20.0,outra,saude,A,sim,0
59.0,48586.61,15.4,101887.49,11.64,2.097,6.3,propria,educacao,B,nao,0
27.0,27870.63,20.0,105421.8,28.23,3.783,15.8,hipoteca,pessoal,D,nao,1
60.0,111877.61,10.7,278935.68,15.59,2.493,1.8,hipoteca,habitacao,C,nao,1
45.0,50218.29,24.1,148894.05,,2.965,2.4,hipoteca,pessoal,B,nao,1
28.0,89454.55,3.6,255513.73,16.52,2.856,14.8,hipoteca,pessoal,C,nao,1
47.0,82468.88,27.7,172915.0,20.76,2.097,4.0,hipoteca,negocio,D,nao,1
59.0,22021.25,1.8,194745.08,11.32,8.844,1.9,propria,saude,A,nao,0
52.0,66488.53,22.0,138693.81,28.45,2.086,2.5,arrendada,saude,B,nao,1
59.0,88959.98,19.2,11598.78,6.07,0.13,7.5,arrendada,negocio,C,nao,0
47.0,70769.02,0.9,23427.22,22.62,0.331,15.8,arrendada,educacao,A,nao,0
26.0,94221.95,11.6,20035.95,20.68,0.213,2.2,hipoteca,negocio,A,nao,0
30.0,54483.1,13.9,99056.66,6.23,1.818,13.9,arrendada,educacao,A,nao,0
65.0,72007.21,22.6,60140.62,22.11,0.835,8.0,propria,habitacao,D,nao,1
34.0,78028.89,19.8,223474.33,9.65,2.864,19.5,outra,pessoal,B,nao,0
55.0,85744.56,14.0,26904.4,,0.314,7.3,outra,negocio,A,nao,0
51.0,80023.86,17.9,266853.69,7.94,3.335,12.1,propria,negocio,C,nao,1
47.0,69028.38,12.6,112704.98,24.92,1.633,10.8,arrendada,pessoal,B,sim,1
30.0,72410.88,,220833.38,26.54,3.05,13.9,propria,educacao,C,nao,1
43.0,76022.42,28.4,267934.97,8.62,3.524,13.2,arrendada,educacao,A,nao,0
52.0,77782.88,12.5,120863.39,5.37,1.554,18.2,arrendada,habitacao,C,nao,0
48.0,98727.23,27.6,173732.73,11.02,1.76,3.6,hipoteca,negocio,B,nao,0
59.0,79176.7,24.5,258402.15,18.6,3.264,9.4,propria,pessoal,B,nao,0
54.0,52247.27,27.1,111949.97,20.48,2.143,12.4,hipoteca,habitacao,A,nao,1
24.0,82006.52,3.4,191176.27,19.03,2.331,4.8,outra,pessoal,B,nao,0
29.0,42737.74,1.0,178537.39,15.61,4.178,4.1,outra,negocio,B,nao,0
28.0,115461.93,25.2,214727.71,8.47,1.86,18.9,propria,saude,B,nao,0
68.0,70849.63,9.1,53653.58,15.01,0.757,7.7,hipoteca,educacao,A,nao,0
62.0,88957.82,21.8,117740.79,25.1,1.324,4.8,hipoteca,negocio,C,nao,1
59.0,83609.45,25.4,129547.41,29.17,1.549,1.7,propria,saude,D,nao,1
49.0,89781.73,11.0,155991.59,16.18,1.737,8.8,hipoteca,negocio,A,nao,0
40.0,68271.0,27.3,268827.42,28.09,3.938,13.6,arrendada,negocio,B,nao,1
66.0,82515.9,7.8,41065.08,29.75,0.498,1.3,hipoteca,negocio,B,nao,0
67.0,46147.59,18.3,63866.14,15.29,1.384,3.4,propria,pessoal,D,nao,0
27.0,54735.26,27.8,211781.77,19.38,3.869,17.5,hipoteca,negocio,D,nao,1
25.0,94209.51,2.6,112423.24,7.81,1.193,19.4,arrendada,saude,B,nao,0
42.0,18736.3,2.7,47760.03,11.98,2.549,3.8,outra,habitacao,B,nao,0
28.0,119703.01,1.0,118739.7,16.81,0.992,4.2,outra,habitacao,B,nao,0
67.0,63731.75,11.0,258487.81,8.48,4.056,16.0,,negocio,D,nao,1
45.0,28312.43,0.4,197038.13,24.81,6.959,17.7,propria,negocio,B,nao,1
49.0,100229.4,1.9,239773.05,28.63,2.392,19.2,hipoteca,educacao,A,nao,1
64.0,82775.75,7.7,76357.26,,0.922,12.4,outra,educacao,A,nao,0
21.0,67098.09,15.0,250966.78,26.21,3.74,8.7,propria,negocio,C,sim,1
32.0,82736.12,4.6,94802.73,25.75,1.146,17.4,outra,habitacao,C,nao,1
54.0,67409.01,18.8,87473.89,24.31,1.298,17.9,propria,negocio,C,nao,1
21.0,78776.85,19.5,56197.38,28.49,0.713,3.3,outra,negocio,B,nao,0
64.0,74404.6,14.8,266648.89,31.36,3.584,2.3,hipoteca,negocio,D,sim,1
53.0,99941.42,,43448.18,13.21,0.435,15.4,hipoteca,saude,B,nao,0
56.0,125240.37,,142796.45,11.7,1.14,9.2,hipoteca,habitacao,B,sim,0
63.0,86832.34,28.6,91180.51,23.44,1.05,1.0,arrendada,negocio,B,nao,0
24.0,84202.47,21.5,90694.84,23.16,1.077,8.2,hipoteca,negocio,B,sim,1
59.0,91144.89,18.6,130602.84,16.7,1.433,15.3,hipoteca,saude,B,nao,0
40.0,63486.87,16.0,226681.95,5.5,3.571,15.8,hipoteca,educacao,A,sim,1
67.0,69358.53,6.8,217963.99,7.02,3.143,15.6,arrendada,habitacao,A,nao,0
69.0,60710.11,21.3,260787.17,19.0,4.296,3.4,hipoteca,negocio,A,nao,0
33.0,45161.16,6.7,208335.39,28.89,4.613,18.3,propria,pessoal,B,nao,1
63.0,49424.97,10.9,32763.43,22.07,0.663,3.4,,habitacao,C,nao,1
37.0,97750.04,19.6,242661.05,26.02,2.482,12.8,hipoteca,educacao,B,nao,1
31.0,104281.64,3.1,159786.59,27.12,1.532,13.2,outra,pessoal,A,sim,1
50.0,64804.4,,36224.53,13.27,0.559,7.7,hipoteca,saude,C,sim,1
23.0,92516.18,12.3,239699.34,24.16,2.591,5.8,propria,pessoal,B,nao,1
57.0,72945.82,11.6,36184.12,15.09,0.496,1.5,hipoteca,educacao,D,sim,1
25.0,113832.42,,143505.07,24.69,1.261,8.8,propria,educacao,C,nao,1
56.0,52466.46,19.9,42834.98,6.74,0.816,17.7,outra,negocio,B,nao,0
29.0,101572.22,26.4,14204.22,30.32,0.14,18.8,,educacao,B,nao,0
50.0,83748.68,21.2,35657.54,12.11,0.426,18.3,outra,educacao,C,sim,1
24.0,40931.94,15.2,181578.81,17.91,4.436,6.7,,saude,B,sim,1
29.0,75580.63,16.7,95662.73,26.35,1.266,12.1,arrendada,negocio,B,nao,0
30.0,79851.76,15.8,202903.62,5.32,2.541,6.3,propria,saude,B,nao,0
52.0,51935.12,25.8,66721.49,5.39,1.285,4.3,hipoteca,negocio,A,nao,0
60.0,45081.88,9.5,29638.73,28.86,0.657,5.0,arrendada,educacao,C,nao,1
27.0,51850.74,8.3,240835.58,29.39,4.645,3.3,arrendada,educacao,A,sim,1
23.0,71287.48,24.8,119499.57,5.56,1.676,16.1,outra,pessoal,D,nao,0
37.0,67921.36,15.0,221899.09,17.04,3.267,11.8,arrendada,saude,A,nao,0
66.0,73655.81,9.5,179601.24,9.93,2.438,13.9,propria,saude,C,nao,1
59.0,46990.49,7.5,173682.3,29.29,3.696,7.8,hipoteca,saude,B,nao,1
27.0,65663.49,1.5,219897.73,22.12,3.349,12.2,outra,negocio,B,nao,1
51.0,80872.04,12.3,72857.09,7.51,0.901,17.2,hipoteca,habitacao,B,nao,0
44.0,39793.39,12.5,223487.51,16.86,5.616,2.3,hipoteca,saude,A,nao,0
42.0,41597.68,10.7,215975.12,27.12,5.192,4.1,hipoteca,negocio,D,nao,1
23.0,51393.18,22.3,206353.95,26.38,4.015,3.8,hipoteca,habitacao,C,nao,1
60.0,67849.64,,274504.52,13.35,4.046,14.2,arrendada,saude,B,nao,0
45.0,71241.55,22.4,121201.02,16.64,1.701,3.4,propria,educacao,B,nao,0
42.0,95391.06,22.6,232304.21,11.74,2.435,1.5,arrendada,educacao,B,nao,0
54.0,109445.13,19.0,294621.77,31.06,2.692,8.7,arrendada,pessoal,C,nao,1
24.0,47161.26,22.2,39211.82,14.43,0.831,12.8,outra,saude,A,nao,0
39.0,44890.48,23.8,73318.75,5.44,1.633,14.4,outra,saude,D,nao,0
48.0,98006.18,1.0,244871.69,17.93,2.499,2.6,propria,negocio,D,nao,1
30.0,98668.35,13.7,220914.95,20.67,2.239,15.6,hipoteca,saude,A,nao,1
46.0,108020.15,10.3,49736.97,7.95,0.46,10.1,propria,negocio,B,nao,0
35.0,89447.32,27.6,77474.59,15.27,0.866,4.3,propria,habitacao,C,nao,0
33.0,100973.84,25.4,276588.27,5.42,2.739,9.9,hipoteca,habitacao,A,nao,0
22.0,31305.83,29.1,276734.89,,8.84,14.4,arrendada,saude,C,nao,1
30.0,101419.6,29.3,58359.78,25.18,0.575,13.7,arrendada,educacao,A,nao,0
64.0,122449.68,2.4,29233.23,20.38,0.239,16.1,outra,negocio,A,nao,0
44.0,116788.71,29.5,227700.91,19.69,1.95,2.7,propria,negocio,A,nao,0
58.0,106103.57,24.7,158076.33,,1.49,16.9,outra,habitacao,D,nao,0
25.0,54036.54,3.1,11720.49,28.54,0.217,12.2,hipoteca,educacao,B,nao,0
66.0,127909.16,10.5,29621.34,6.28,0.232,8.6,hipoteca,saude,D,nao,0
53.0,84891.8,5.5,267144.18,,3.147,17.2,propria,habitacao,B,nao,1
31.0,85455.19,10.2,8736.83,12.14,0.102,17.4,outra,negocio,B,nao,0
51.0,78448.75,,78028.78,29.78,0.995,8.6,hipoteca,negocio,A,nao,0
38.0,103315.31,12.3,47512.21,29.55,0.46,7.6,arrendada,habitacao,D,nao,1
33.0,51908.87,3.4,220573.73,24.75,4.249,16.6,outra,habitacao,B,nao,1
37.0,105441.56,25.9,56649.18,8.7,0.537,16.7,outra,educacao,A,sim,0
42.0,103423.23,10.7,142323.73,24.96,1.376,18.4,,saude,B,nao,0
41.0,105112.89,25.3,207045.55,10.96,1.97,1.3,outra,negocio,A,nao,0
37.0,112424.73,28.0,254613.49,19.62,2.265,1.7,,saude,B,nao,0
60.0,108864.04,21.2,283024.21,,2.6,7.9,propria,habitacao,B,nao,0
43.0,85903.86,5.9,139152.83,31.23,1.62,13.9,arrendada,pessoal,C,nao,1
35.0,87567.26,8.7,221772.18,23.4,2.533,7.4,,negocio,D,nao,1
44.0,35016.6,14.5,272435.92,20.53,7.78,2.8,arrendada,negocio,A,nao,1
45.0,92607.69,25.6,210315.6,19.15,2.271,1.4,propria,educacao,C,nao,1
69.0,89489.76,12.5,117962.97,17.27,1.318,2.9,,educacao,D,nao,0
33.0,64500.35,9.5,64793.4,15.92,1.005,19.4,hipoteca,habitacao,B,nao,0
35.0,88944.42,29.9,11397.93,6.07,0.128,7.6,outra,saude,D,nao,0
36.0,53592.87,12.6,105534.31,30.13,1.969,12.5,hipoteca,habitacao,A,nao,0
56.0,29782.27,28.3,162437.95,11.86,5.454,12.9,hipoteca,educacao,A,nao,0
65.0,51908.09,0.3,104394.02,9.1,2.011,17.5,hipoteca,saude,B,sim,1
54.0,61352.3,2.3,13188.84,,0.215,5.7,arrendada,habitacao,D,nao,0
61.0,26847.03,26.3,132252.77,8.95,4.926,7.3,arrendada,educacao,A,sim,1
34.0,14135.17,25.3,291699.06,31.98,20.636,18.9,hipoteca,saude,C,nao,1
59.0,59180.16,1.0,48418.1,11.26,0.818,14.9,arrendada,pessoal,B,nao,0
33.0,52418.05,3.6,53547.98,25.47,1.022,15.3,hipoteca,habitacao,A,nao,0
45.0,94804.02,19.5,273860.2,14.82,2.889,1.1,propria,saude,B,nao,0
51.0,115009.18,,168068.48,20.56,1.461,19.5,,pessoal,A,nao,0
47.0,74310.25,8.4,173593.18,11.96,2.336,18.0,outra,negocio,D,sim,1
40.0,85503.75,20.5,57432.38,23.53,0.672,4.7,propria,negocio,D,sim,1
41.0,125655.24,18.7,213301.25,,1.698,6.3,hipoteca,habitacao,A,nao,0
49.0,54320.69,27.7,196988.42,26.12,3.626,2.5,arrendada,negocio,C,nao,1
50.0,62076.44,16.7,214339.45,20.64,3.453,17.8,outra,educacao,C,nao,1
25.0,57415.35,29.5,10633.11,21.07,0.185,2.6,outra,pessoal,B,nao,0
36.0,75102.25,0.9,270948.37,6.31,3.608,12.5,arrendada,negocio,C,nao,1
41.0,45047.53,6.6,66528.53,21.61,1.477,1.3,outra,educacao,D,nao,1
47.0,73104.81,28.0,39383.63,13.99,0.539,12.7,,educacao,A,sim,0
59.0,89765.94,5.4,269369.52,17.46,3.001,17.9,propria,habitacao,C,sim,1
39.0,29498.86,9.3,63205.63,28.53,2.143,12.2,arrendada,habitacao,C,nao,1
29.0,88943.4,3.3,53726.97,11.3,0.604,9.3,arrendada,saude,C,nao,0
22.0,73528.07,19.2,219931.75,26.72,2.991,13.9,outra,saude,B,nao,1
62.0,53552.89,,158638.73,7.96,2.962,8.1,hipoteca,educacao,C,nao,1
52.0,61827.35,9.2,183791.91,26.66,2.973,6.6,arrendada,saude,A,nao,1
36.0,52318.93,13.9,153591.1,29.67,2.936,4.7,outra,pessoal,A,nao,1
23.0,83693.65,16.4,281683.42,31.79,3.366,4.1,hipoteca,educacao,B,nao,1
28.0,81588.13,11.1,295743.5,12.9,3.625,11.9,hipoteca,educacao,C,nao,1
67.0,79116.77,27.5,8340.79,17.39,0.105,18.0,outra,habitacao,A,nao,0
65.0,44906.55,4.9,209085.46,28.59,4.656,4.5,arrendada,negocio,B,nao,1
67.0,123853.62,28.6,204452.29,30.22,1.651,1.3,propria,habitacao,A,nao,0
43.0,57490.29,22.9,200553.74,9.91,3.488,9.6,hipoteca,educacao,A,nao,0
38.0,42862.88,8.1,201312.44,26.75,4.697,7.0,arrendada,educacao,A,nao,1
51.0,88649.81,20.1,160096.77,8.4,1.806,19.9,propria,educacao,C,nao,0
49.0,100862.76,0.9,82627.23,27.96,0.819,7.3,arrendada,negocio,B,nao,0
25.0,80095.86,28.8,19754.55,20.11,0.247,16.9,propria,habitacao,D,nao,1
36.0,65591.09,2.1,133802.25,6.77,2.04,1.1,arrendada,educacao,C,nao,1
63.0,49263.09,27.2,59155.22,30.14,1.201,1.4,arrendada,pessoal,B,nao,0
34.0,71767.4,18.7,180495.27,8.31,2.515,19.0,arrendada,negocio,B,nao,0
56.0,74274.81,3.2,297909.0,25.84,4.011,11.0,outra,pessoal,C,sim,1
57.0,45130.52,25.6,59472.19,21.28,1.318,18.0,hipoteca,educacao,A,nao,0
27.0,53208.43,14.3,153772.25,26.29,2.89,5.5,hipoteca,habitacao,C,nao,1
23.0,83915.94,,198827.8,25.16,2.369,13.3,outra,saude,A,nao,1
65.0,70550.26,8.9,142409.81,,2.019,8.1,propria,educacao,A,sim,1
61.0,90817.09,11.5,146169.55,19.07,1.609,3.0,hipoteca,habitacao,A,nao,0
36.0,86489.87,17.7,215844.15,28.0,2.496,14.2,hipoteca,saude,A,nao,1
22.0,72114.53,16.7,211422.91,21.78,2.932,19.1,hipoteca,educacao,D,nao,1
33.0,6887.14,20.3,30072.74,13.21,4.367,2.3,propria,pessoal,A,sim,1
63.0,53802.33,22.9,96733.74,29.24,1.798,20.0,arrendada,saude,B,nao,0
25.0,27136.86,22.7,202690.16,26.07,7.469,8.8,hipoteca,habitacao,A,nao,1
30.0,78773.96,12.4,116820.96,31.28,1.483,1.1,propria,saude,A,nao,0
31.0,55693.94,16.3,231227.06,30.16,4.152,6.0,hipoteca,saude,C,nao,1
57.0,83508.44,28.9,118509.59,31.08,1.419,6.2,hipoteca,pessoal,C,nao,1
36.0,82445.28,2.1,61897.52,5.22,0.751,6.1,outra,saude,C,nao,0
65.0,4526.43,6.4,278916.63,29.88,61.62,6.8,propria,negocio,B,nao,1
25.0,108800.55,2.0,178806.93,13.3,1.643,16.9,hipoteca,negocio,B,nao,0
25.0,42872.13,,101712.31,27.94,2.372,11.1,outra,saude,B,sim,1
41.0,68739.08,20.1,56562.56,5.45,0.823,9.6,propria,pessoal,D,nao,0
29.0,72030.48,,299207.17,,4.154,4.9,propria,negocio,C,nao,1
69.0,44936.52,0.1,262135.78,16.83,5.833,4.3,propria,educacao,B,sim,1
48.0,88921.03,22.9,136248.74,31.78,1.532,10.3,hipoteca,saude,B,nao,0
48.0,78437.26,19.1,46138.65,31.74,0.588,11.8,hipoteca,pessoal,A,nao,0
64.0,80933.25,5.4,40260.05,19.08,0.497,4.2,arrendada,habitacao,D,sim,1
56.0,37679.41,2.4,172083.91,20.27,4.567,11.0,propria,educacao,C,nao,1
41.0,68653.14,7.4,177319.49,,2.583,5.2,hipoteca,pessoal,A,nao,0
68.0,65853.16,3.2,217340.64,17.47,3.3,10.4,propria,negocio,D,nao,1
49.0,71900.52,22.4,238146.49,16.46,3.312,4.1,outra,saude,A,nao,0
33.0,70240.38,,174350.26,27.9,2.482,8.9,hipoteca,saude,B,nao,1
30.0,76492.92,15.7,202409.03,27.57,2.646,6.3,arrendada,habitacao,C,nao,1
24.0,66219.32,20.4,165223.32,13.06,2.495,15.7,,pessoal,A,nao,0
21.0,74022.44,12.8,96362.2,8.06,1.302,1.7,arrendada,pessoal,C,nao,0
57.0,63251.27,26.2,132714.05,16.68,2.098,11.4,arrendada,negocio,C,nao,1
38.0,119775.08,23.1,147495.12,9.11,1.231,6.6,,negocio,D,nao,0
26.0,35097.01,9.6,263899.79,14.41,7.519,15.4,propria,educacao,A,nao,0
67.0,98947.11,10.2,199855.12,26.94,2.02,10.3,outra,saude,A,nao,1
54.0,87574.27,17.0,133925.69,13.07,1.529,5.6,outra,pessoal,D,sim,1
31.0,36374.09,16.8,160547.7,20.73,4.414,14.5,outra,negocio,B,nao,1
37.0,50311.26,29.9,124569.66,25.39,2.476,19.7,hipoteca,educacao,B,nao,1
37.0,56669.53,23.8,133143.47,25.47,2.349,9.1,outra,saude,A,nao,1
32.0,96596.69,5.3,176091.0,30.79,1.823,19.0,arrendada,pessoal,C,nao,1
30.0,106577.05,8.1,252004.23,14.86,2.365,8.6,arrendada,educacao,B,sim,1
21.0,84231.43,7.2,272429.07,15.38,3.234,7.4,outra,pessoal,C,nao,1
41.0,72370.72,28.6,132887.11,24.75,1.836,5.5,arrendada,pessoal,D,nao,1
50.0,132900.43,21.4,16886.56,10.45,0.127,10.6,hipoteca,negocio,A,sim,0
44.0,61481.96,7.2,41217.99,16.45,0.67,5.8,outra,saude,B,nao,0
57.0,54886.83,4.7,242311.89,,4.415,11.7,outra,pessoal,C,nao,1
37.0,43464.29,13.5,197117.59,24.72,4.535,18.6,hipoteca,pessoal,B,nao,1
49.0,51085.61,29.6,57570.27,,1.127,19.1,propria,saude,C,sim,1
21.0,46203.08,,9458.41,22.88,0.205,7.5,propria,educacao,D,nao,1
38.0,101343.61,1.3,82724.61,23.83,0.816,20.0,propria,educacao,A,nao,0
67.0,111517.57,20.6,174658.7,31.06,1.566,7.4,propria,negocio,B,nao,0
41.0,91340.3,18.1,260348.28,14.86,2.85,18.9,hipoteca,educacao,B,sim,1
48.0,49516.32,13.2,179107.9,27.74,3.617,3.5,arrendada,pessoal,A,nao,1
59.0,59486.58,14.1,245188.65,,4.122,15.1,propria,saude,A,nao,0
62.0,85757.23,28.7,117197.87,19.51,1.367,5.7,outra,habitacao,B,nao,0
50.0,61720.57,13.2,25530.85,14.31,0.414,1.7,outra,negocio,A,nao,0
30.0,110103.03,8.7,178716.26,23.21,1.623,13.2,outra,educacao,C,nao,1
60.0,97876.39,7.9,141641.79,30.0,1.447,1.3,propria,negocio,B,nao,0
29.0,70712.69,25.3,244836.43,12.07,3.462,11.6,hipoteca,habitacao,C,nao,1
34.0,95348.96,13.1,62382.98,17.0,0.654,12.2,arrendada,saude,B,nao,0
22.0,111294.64,24.9,199896.88,19.6,1.796,6.1,hipoteca,habitacao,C,sim,1
50.0,101805.2,16.1,272498.95,,2.677,8.4,arrendada,habitacao,D,sim,1
65.0,86353.97,2.1,152209.69,5.31,1.763,11.1,arrendada,pessoal,B,sim,0
47.0,68695.1,0.9,167640.01,27.39,2.44,13.6,outra,educacao,D,nao,1
64.0,89870.82,7.8,9616.56,20.46,0.107,9.4,outra,habitacao,C,nao,1
63.0,83033.95,7.4,24067.1,,0.29,19.9,hipoteca,habitacao,C,nao,0
54.0,87416.49,0.3,281102.4,23.59,3.216,7.1,propria,educacao,D,nao,1
21.0,60422.45,0.2,273389.85,15.22,4.525,2.0,arrendada,habitacao,C,nao,1
21.0,57265.86,16.5,289801.36,15.17,5.061,6.0,outra,habitacao,A,nao,0
55.0,124638.36,28.4,282732.55,25.59,2.268,4.2,arrendada,pessoal,B,nao,1
39.0,80859.75,10.1,221424.89,16.12,2.738,17.8,hipoteca,saude,C,nao,1
55.0,143022.55,19.8,54550.5,28.64,0.381,18.8,propria,educacao,A,sim,1
61.0,83604.16,14.2,34495.22,,0.413,9.5,propria,habitacao,C,nao,0
47.0,71697.67,1.5,57187.18,12.43,0.798,4.4,outra,saude,C,sim,1
66.0,61684.01,20.7,74234.99,14.72,1.203,10.5,propria,pessoal,A,nao,0
58.0,35458.25,3.1,281014.87,17.77,7.925,1.0,outra,habitacao,D,nao,1
38.0,77843.42,5.9,173682.99,8.28,2.231,4.4,arrendada,negocio,B,nao,0
52.0,30195.99,27.2,276799.95,7.07,9.167,13.8,propria,habitacao,C,nao,1
52.0,67749.09,28.2,45453.29,8.99,0.671,15.7,hipoteca,habitacao,A,sim,0
49.0,80556.46,9.4,87596.23,10.28,1.087,2.9,arrendada,pessoal,C,nao,0
27.0,20742.51,0.0,64938.74,22.67,3.131,16.4,propria,habitacao,C,nao,1
29.0,63065.15,1.9,259533.72,26.03,4.115,11.7,arrendada,pessoal,B,sim,1
54.0,84167.48,,52632.65,21.05,0.625,11.4,hipoteca,pessoal,C,nao,1
36.0,51984.78,26.7,108250.02,30.01,2.082,8.2,hipoteca,habitacao,B,nao,1
21.0,47166.17,13.2,159305.25,15.6,3.378,11.3,outra,habitacao,D,nao,1
65.0,143044.96,15.9,103939.31,25.89,0.727,14.1,hipoteca,negocio,C,nao,1
60.0,29765.25,28.7,48845.01,27.7,1.641,5.0,hipoteca,pessoal,D,sim,1
51.0,98564.39,13.9,186141.42,15.17,1.889,15.8,hipoteca,saude,B,nao,0
27.0,82928.11,18.4,165672.21,13.28,1.998,7.6,hipoteca,negocio,B,nao,0
56.0,77319.6,29.8,133379.27,13.27,1.725,11.3,arrendada,saude,A,nao,0
52.0,55239.0,13.1,47283.43,28.84,0.856,19.8,hipoteca,negocio,B,sim,1
56.0,29953.56,9.7,285965.22,6.12,9.547,7.9,arrendada,habitacao,B,nao,0
29.0,44037.59,13.4,260998.47,31.04,5.927,19.2,hipoteca,negocio,B,nao,1
26.0,60263.41,19.0,195527.04,18.29,3.245,1.2,propria,pessoal,C,nao,1
39.0,84532.59,5.1,38734.28,,0.458,4.5,arrendada,negocio,C,nao,1
29.0,99590.92,7.6,197850.98,29.71,1.987,16.9,outra,pessoal,B,nao,0
48.0,40067.14,27.8,57826.02,31.94,1.443,1.7,hipoteca,habitacao,C,sim,1
29.0,127795.03,18.4,180963.98,5.31,1.416,19.5,hipoteca,habitacao,A,nao,0
40.0,61399.06,23.4,112326.57,19.73,1.829,1.7,hipoteca,educacao,A,nao,0
39.0,79193.68,20.9,986667.8500000001,27.04,2.492,15.1,propria,pessoal,B,nao,1
21.0,63688.33,4.1,52470.83,16.83,0.824,15.1,propria,educacao,B,nao,0
47.0,22593.45,9.1,93371.65,21.57,4.133,19.1,arrendada,negocio,D,nao,1
43.0,39291.68,7.1,26193.44,6.25,0.667,3.8,outra,pessoal,A,nao,0
22.0,87275.15,13.0,85540.01,12.13,0.98,7.5,propria,saude,C,nao,0
57.0,71818.87,28.7,128500.17,19.34,1.789,3.7,arrendada,educacao,A,nao,0
44.0,12312.36,28.4,188223.34,18.27,15.287,14.6,hipoteca,educacao,C,nao,1
68.0,30091.89,6.0,148713.27,25.59,4.942,18.2,,saude,B,nao,1
27.0,74320.73,7.7,237368.4,7.71,3.194,17.2,propria,pessoal,C,sim,1
40.0,13233.52,0.4,76786.69,7.29,5.802,14.7,propria,educacao,B,nao,0
31.0,85965.17,7.2,76830.94,9.82,0.894,20.0,propria,negocio,D,sim,1
69.0,69414.17,2.6,41043.13,10.84,0.591,8.0,arrendada,pessoal,B,nao,0
